timestamp,ticker,strike_price,crypto_price,mins_left,yes_ask,no_ask,yes_bid,no_bid,yes_depth_1,yes_depth_3,yes_depth_all,no_depth_1,no_depth_3,no_depth_all,yes_levels,no_levels,spread
2026-03-06T04:29:12.011764+00:00,KXETH15M-26MAR052330-30,2079.06,2077.85,0.8,1,100,0,99,0,0,0,1204,1206,82859,0,49,1
2026-03-06T04:29:15.016298+00:00,KXETH15M-26MAR052330-30,2079.06,2077.6,0.75,1,100,0,99,0,0,0,1204,1206,87548,0,49,1
2026-03-06T04:29:18.228024+00:00,KXETH15M-26MAR052330-30,2079.06,2077.59,0.7,1,100,0,99,0,0,0,0,0,0,0,0,1
2026-03-06T04:29:21.337742+00:00,KXETH15M-26MAR052330-30,2079.06,2077.59,0.65,1,100,0,99,0,0,0,1396,9398,97222,0,49,1
2026-03-06T04:29:22.105734+00:00,KXETH15M-26MAR052330-30,2079.06,2077.59,0.63,1,100,0,99,0,0,0,1396,9398,97160,0,49,1
2026-03-06T04:29:23.109829+00:00,KXETH15M-26MAR052330-30,2079.06,2077.59,0.62,1,100,0,99,0,0,0,1396,9398,97222,0,49,1
2026-03-06T04:29:24.356241+00:00,KXETH15M-26MAR052330-30,2079.06,2077.59,0.6,1,100,0,99,0,0,0,1396,9398,97172,0,49,1
2026-03-06T04:29:25.115523+00:00,KXETH15M-26MAR052330-30,2079.06,2077.59,0.58,1,100,0,99,0,0,0,1396,9398,97110,0,49,1
2026-03-06T04:29:26.171922+00:00,KXETH15M-26MAR052330-30,2079.06,2077.59,0.57,1,100,0,99,0,0,0,1396,9398,97172,0,49,1
2026-03-06T04:29:27.184815+00:00,KXETH15M-26MAR052330-30,2079.06,2077.59,0.55,1,100,0,99,0,0,0,1396,9398,97110,0,49,1
2026-03-06T04:29:28.168044+00:00,KXETH15M-26MAR052330-30,2079.06,2077.59,0.53,1,100,0,99,0,0,0,1396,9398,97048,0,49,1
2026-03-06T04:29:29.110420+00:00,KXETH15M-26MAR052330-30,2079.06,2077.59,0.52,1,100,0,99,0,0,0,1396,9398,97110,0,49,1
2026-03-06T04:29:30.232781+00:00,KXETH15M-26MAR052330-30,2079.06,2077.59,0.5,1,100,0,99,0,0,0,1396,9398,97135,0,50,1
2026-03-06T04:29:31.166906+00:00,KXETH15M-26MAR052330-30,2079.06,2077.59,0.48,1,100,0,99,0,0,0,1396,1398,8911,0,48,1
2026-03-06T04:29:32.103766+00:00,KXETH15M-26MAR052330-30,2079.06,2077.59,0.47,1,100,0,99,0,0,0,1396,9398,97124,0,48,1
2026-03-06T04:29:35.177966+00:00,KXETH15M-26MAR052330-30,2079.06,2077.59,0.42,1,100,0,99,0,0,0,1396,1398,8982,0,48,1
2026-03-06T04:29:38.235388+00:00,KXETH15M-26MAR052330-30,2079.06,2077.59,0.36,1,100,0,99,0,0,0,1396,1398,9044,0,48,1
2026-03-06T04:29:39.244970+00:00,KXETH15M-26MAR052330-30,2079.06,2075.02,0.35,1,100,0,99,0,0,0,1396,9398,97204,0,48,1
2026-03-06T04:29:40.243223+00:00,KXETH15M-26MAR052330-30,2079.06,2075.02,0.33,1,100,0,99,0,0,0,1396,9398,97204,0,48,1
2026-03-06T04:29:41.223082+00:00,KXETH15M-26MAR052330-30,2079.06,2075.02,0.31,1,100,0,99,0,0,0,1396,9398,97204,0,48,1
2026-03-06T04:29:42.451769+00:00,KXETH15M-26MAR052330-30,2079.06,2075.02,0.3,1,100,0,99,0,0,0,1396,9398,97204,0,48,1
2026-03-06T04:29:43.316059+00:00,KXETH15M-26MAR052330-30,2079.06,2075.02,0.28,1,100,0,99,0,0,0,1396,9398,97204,0,48,1
2026-03-06T04:29:46.328304+00:00,KXETH15M-26MAR052330-30,2079.06,2075.02,0.23,1,100,0,99,0,0,0,1396,9398,97254,0,48,1
2026-03-06T04:29:47.314777+00:00,KXETH15M-26MAR052330-30,2079.06,2075.02,0.21,1,100,0,99,0,0,0,1396,9398,97254,0,48,1
2026-03-06T04:29:48.532094+00:00,KXETH15M-26MAR052330-30,2079.06,2075.02,0.2,1,100,0,99,0,0,0,1396,9398,97254,0,48,1
2026-03-06T04:29:51.361108+00:00,KXETH15M-26MAR052330-30,2079.06,2075.02,0.15,1,100,0,99,0,0,0,1396,9398,98254,0,48,1
2026-03-06T04:29:54.638865+00:00,KXETH15M-26MAR052330-30,2079.06,2075.02,0.09,1,100,0,99,0,0,0,1396,9398,98259,0,48,1
2026-03-06T04:29:55.390256+00:00,KXETH15M-26MAR052330-30,2079.06,2075.02,0.08,1,100,0,99,0,0,0,1396,9398,98259,0,48,1
2026-03-06T04:29:56.444582+00:00,KXETH15M-26MAR052330-30,2079.06,2075.02,0.06,1,100,0,99,0,0,0,1396,9398,98259,0,48,1
